"Pop_Code","Plant_ID","Year","yday","Site","Latitude","Longitude","GD","GDs","GDD","GDDs","meanGDeg","varGDeg","skewGDeg","kurtGDeg","numStns"
19,"1_BEF_T11_1_19",2008,198,"1_BEF",39.059479,-78.059835,185,91,2065.70531691328,961.317703701613,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
20,"1_BEF_J21_1_20",2008,190,"1_BEF",39.059479,-78.059835,185,83,2065.70531691328,837.578521216579,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
21,"1_BEF_S6_1_21",2008,187,"1_BEF",39.059479,-78.059835,185,80,2065.70531691328,792.720319410928,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
22,"1_BEF_E25_1_22",2008,171,"1_BEF",39.059479,-78.059835,185,64,2065.70531691328,573.704513279014,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
23,"1_BEF_S19_2_1",2008,176,"1_BEF",39.059479,-78.059835,185,69,2065.70531691328,634.551260788014,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
24,"1_BEF_J11_2_2",2008,173,"1_BEF",39.059479,-78.059835,185,66,2065.70531691328,595.425518781998,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
25,"1_BEF_S15_2_3",2008,190,"1_BEF",39.059479,-78.059835,185,83,2065.70531691328,837.578521216579,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
26,"1_BEF_S9_2_4",2008,185,"1_BEF",39.059479,-78.059835,185,78,2065.70531691328,763.327117430539,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
27,"1_BEF_C19_2_5",2008,176,"1_BEF",39.059479,-78.059835,185,69,2065.70531691328,634.551260788014,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
28,"1_BEF_E2_2_6",2008,178,"1_BEF",39.059479,-78.059835,185,71,2065.70531691328,661.402589091938,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
