"Pop_Code","Plant_ID","Year","yday","Site","Latitude","Longitude","GD","GDs","GDD","GDDs","meanGDeg","varGDeg","skewGDeg","kurtGDeg","numStns"
1,"1_BEF_C13_1_1",2008,168,"1_BEF",39.059479,-78.059835,193.088415857979,61.8243322636563,2087.46795481027,545.694926022969,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
2,"1_BEF_C11_1_2",2008,180,"1_BEF",39.059479,-78.059835,193.088415857979,73.8243322636563,2087.46795481027,700.171863961008,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
3,"1_BEF_A16_1_3",2008,165,"1_BEF",39.059479,-78.059835,193.088415857979,58.8243322636563,2087.46795481027,500.560242367264,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
4,"1_BEF_C20_1_4",2008,193,"1_BEF",39.059479,-78.059835,193.088415857979,86.8243322636563,2087.46795481027,889.702083533339,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
5,"1_BEF_T3_1_5",2008,171,"1_BEF",39.059479,-78.059835,193.088415857979,64.8243322636563,2087.46795481027,576.586608218277,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
6,"1_BEF_C18_1_6",2008,180,"1_BEF",39.059479,-78.059835,193.088415857979,73.8243322636563,2087.46795481027,700.171863961008,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
7,"1_BEF_C22_1_7",2008,169,"1_BEF",39.059479,-78.059835,193.088415857979,62.8243322636563,2087.46795481027,557.599506921993,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
8,"1_BEF_E27_1_8",2008,176,"1_BEF",39.059479,-78.059835,193.088415857979,69.8243322636563,2087.46795481027,638.114527673547,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
9,"1_BEF_C1_1_9",2008,172,"1_BEF",39.059479,-78.059835,193.088415857979,65.8243322636563,2087.46795481027,586.568246677125,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
10,"1_BEF_J1_1_10",2008,193,"1_BEF",39.059479,-78.059835,193.088415857979,86.8243322636563,2087.46795481027,889.702083533339,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
11,"1_BEF_C20_1_11",2008,185,"1_BEF",39.059479,-78.059835,193.088415857979,78.8243322636563,2087.46795481027,768.386507158742,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
12,"1_BEF_E6_1_12",2008,172,"1_BEF",39.059479,-78.059835,193.088415857979,65.8243322636563,2087.46795481027,586.568246677125,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
13,"1_BEF_S12_1_13",2008,190,"1_BEF",39.059479,-78.059835,193.088415857979,83.8243322636563,2087.46795481027,841.892141061605,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
14,"1_BEF_E3_1_14",2008,174,"1_BEF",39.059479,-78.059835,193.088415857979,67.8243322636563,2087.46795481027,612.68005578363,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
15,"1_BEF_J26_1_15",2008,183,"1_BEF",39.059479,-78.059835,193.088415857979,76.8243322636563,2087.46795481027,743.154499382728,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
16,"1_BEF_S10_1_16",2008,193,"1_BEF",39.059479,-78.059835,193.088415857979,86.8243322636563,2087.46795481027,889.702083533339,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
17,"1_BEF_A18_1_17",2008,178,"1_BEF",39.059479,-78.059835,193.088415857979,71.8243322636563,2087.46795481027,665.504588309859,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
18,"1_BEF_E13_1_18",2008,167,"1_BEF",39.059479,-78.059835,193.088415857979,60.8243322636563,2087.46795481027,532.174877445041,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
19,"1_BEF_T11_1_19",2008,198,"1_BEF",39.059479,-78.059835,193.088415857979,91.8243322636563,2087.46795481027,966.257357773036,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
20,"1_BEF_J21_1_20",2008,190,"1_BEF",39.059479,-78.059835,193.088415857979,83.8243322636563,2087.46795481027,841.892141061605,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
21,"1_BEF_S6_1_21",2008,187,"1_BEF",39.059479,-78.059835,193.088415857979,80.8243322636563,2087.46795481027,797.296105783039,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
22,"1_BEF_E25_1_22",2008,171,"1_BEF",39.059479,-78.059835,193.088415857979,64.8243322636563,2087.46795481027,576.586608218277,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
23,"1_BEF_S19_2_1",2008,176,"1_BEF",39.059479,-78.059835,193.088415857979,69.8243322636563,2087.46795481027,638.114527673547,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
24,"1_BEF_J11_2_2",2008,173,"1_BEF",39.059479,-78.059835,193.088415857979,66.8243322636563,2087.46795481027,598.933853310597,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
25,"1_BEF_S15_2_3",2008,190,"1_BEF",39.059479,-78.059835,193.088415857979,83.8243322636563,2087.46795481027,841.892141061605,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
26,"1_BEF_S9_2_4",2008,185,"1_BEF",39.059479,-78.059835,193.088415857979,78.8243322636563,2087.46795481027,768.386507158742,10.849252575627,23.1908282486835,-0.373614024297973,-0.652362648167615,20
