"Pop_Code","Plant_ID","Year","yday","Site","Latitude","Longitude"
"82","1_BEF_E6_4_20",2008,174,"1_BEF",39.059479,-78.059835
"83","1_BEF_E23_4_21",2008,173,"1_BEF",39.059479,-78.059835
"84","1_BEF_T15_4_22",2008,190,"1_BEF",39.059479,-78.059835
"85","1_BEF_S10_4_23",2008,193,"1_BEF",39.059479,-78.059835
"86","1_BEF_T11_5_1",2008,190,"1_BEF",39.059479,-78.059835
"87","1_BEF_J10_5_2",2008,193,"1_BEF",39.059479,-78.059835
"88","1_BEF_S1_5_3",2008,195,"1_BEF",39.059479,-78.059835
"89","1_BEF_S12_5_4",2008,187,"1_BEF",39.059479,-78.059835
"90","1_BEF_J22_5_5",2008,178,"1_BEF",39.059479,-78.059835
"91","1_BEF_J26_5_6",2008,180,"1_BEF",39.059479,-78.059835
"92","1_BEF_C14_5_7",2008,173,"1_BEF",39.059479,-78.059835
"93","1_BEF_E18_5_8",2008,164,"1_BEF",39.059479,-78.059835
"94","1_BEF_A6_5_9",2008,174,"1_BEF",39.059479,-78.059835
"95","1_BEF_S22_5_10",2008,195,"1_BEF",39.059479,-78.059835
"96","1_BEF_S13_5_11",2008,198,"1_BEF",39.059479,-78.059835
"97","1_BEF_J11_5_12",2008,181,"1_BEF",39.059479,-78.059835
"98","1_BEF_E13_5_13",2008,178,"1_BEF",39.059479,-78.059835
"99","1_BEF_E16_5_14",2008,166,"1_BEF",39.059479,-78.059835
"100","1_BEF_E16_5_15",2008,171,"1_BEF",39.059479,-78.059835
"101","1_BEF_S6_5_16",2008,187,"1_BEF",39.059479,-78.059835
"102","1_BEF_S20_5_17",2008,187,"1_BEF",39.059479,-78.059835
"103","1_BEF_J15_5_18",2008,183,"1_BEF",39.059479,-78.059835
"104","1_BEF_A22_5_19",2008,171,"1_BEF",39.059479,-78.059835
"105","1_BEF_S20_5_20",2008,195,"1_BEF",39.059479,-78.059835
"106","1_BEF_J17_5_21",2008,181,"1_BEF",39.059479,-78.059835
"107","1_BEF_S9_5_22",2008,198,"1_BEF",39.059479,-78.059835
"108","1_BEF_J10_6_1",2008,183,"1_BEF",39.059479,-78.059835
"109","1_BEF_A22_6_2",2008,179,"1_BEF",39.059479,-78.059835
"110","1_BEF_T1_6_3",2008,178,"1_BEF",39.059479,-78.059835
"111","1_BEF_J21_6_4",2008,190,"1_BEF",39.059479,-78.059835
"112","1_BEF_J18_6_5",2008,187,"1_BEF",39.059479,-78.059835
"113","1_BEF_T14_6_6",2008,190,"1_BEF",39.059479,-78.059835
"114","1_BEF_C29_6_7",2008,183,"1_BEF",39.059479,-78.059835
"115","1_BEF_A20_6_8",2008,176,"1_BEF",39.059479,-78.059835
"116","1_BEF_T10_6_9",2008,183,"1_BEF",39.059479,-78.059835
"117","1_BEF_E25_6_10",2008,190,"1_BEF",39.059479,-78.059835
"118","1_BEF_E18_6_11",2008,166,"1_BEF",39.059479,-78.059835
"119","1_BEF_J25_6_12",2008,187,"1_BEF",39.059479,-78.059835
"120","1_BEF_S4_6_13",2008,193,"1_BEF",39.059479,-78.059835
"121","1_BEF_A2_6_14",2008,164,"1_BEF",39.059479,-78.059835
"122","1_BEF_T2_6_15",2008,193,"1_BEF",39.059479,-78.059835
"123","1_BEF_T2_6_16",2008,195,"1_BEF",39.059479,-78.059835
"124","1_BEF_E3_6_17",2008,178,"1_BEF",39.059479,-78.059835
"125","1_BEF_C28_6_18",2008,183,"1_BEF",39.059479,-78.059835
"126","1_BEF_J3_6_19",2008,187,"1_BEF",39.059479,-78.059835
"127","1_BEF_J9_6_20",2008,183,"1_BEF",39.059479,-78.059835
"128","1_BEF_C29_6_21",2008,173,"1_BEF",39.059479,-78.059835
"129","1_BEF_A16_6_22",2008,178,"1_BEF",39.059479,-78.059835
"130","2_KSR_T9_1_1",2008,215,"2_KSR",44.027957,-79.541863
"131","2_KSR_C14_1_2",2008,192,"2_KSR",44.027957,-79.541863
"132","2_KSR_J15_1_3",2008,205,"2_KSR",44.027957,-79.541863
"133","2_KSR_S22_1_4",2008,238,"2_KSR",44.027957,-79.541863
"134","2_KSR_T3_1_5",2008,220,"2_KSR",44.027957,-79.541863
"135","2_KSR_S9_1_6",2008,216,"2_KSR",44.027957,-79.541863
"136","2_KSR_J22_1_7",2008,207,"2_KSR",44.027957,-79.541863
"137","2_KSR_A22_1_8",2008,195,"2_KSR",44.027957,-79.541863
"138","2_KSR_J26_1_9",2008,203,"2_KSR",44.027957,-79.541863
"139","2_KSR_T11_1_10",2008,207,"2_KSR",44.027957,-79.541863
"140","2_KSR_C27_1_11",2008,195,"2_KSR",44.027957,-79.541863
"141","2_KSR_S22_1_12",2008,247,"2_KSR",44.027957,-79.541863
"142","2_KSR_S17_1_13",2008,235,"2_KSR",44.027957,-79.541863
"143","2_KSR_S10_1_14",2008,214,"2_KSR",44.027957,-79.541863
"144","2_KSR_C30_1_15",2008,193,"2_KSR",44.027957,-79.541863
"145","2_KSR_T3_1_16",2008,202,"2_KSR",44.027957,-79.541863
"146","2_KSR_C17_1_17",2008,195,"2_KSR",44.027957,-79.541863
"147","2_KSR_E3_1_18",2008,197,"2_KSR",44.027957,-79.541863
"148","2_KSR_C19_1_19",2008,206,"2_KSR",44.027957,-79.541863
"149","2_KSR_T1_1_20",2008,216,"2_KSR",44.027957,-79.541863
"150","2_KSR_E16_1_21",2008,191,"2_KSR",44.027957,-79.541863
"151","2_KSR_S10_1_22",2008,218,"2_KSR",44.027957,-79.541863
"152","2_KSR_E16_1_23",2008,198,"2_KSR",44.027957,-79.541863
"153","2_KSR_S20_1_24",2008,218,"2_KSR",44.027957,-79.541863
"154","2_KSR_E12_1_25",2008,205,"2_KSR",44.027957,-79.541863
"155","2_KSR_J15_2_1",2008,201,"2_KSR",44.027957,-79.541863
"156","2_KSR_E6_2_2",2008,191,"2_KSR",44.027957,-79.541863
"157","2_KSR_E24_2_3",2008,195,"2_KSR",44.027957,-79.541863
"158","2_KSR_A7_2_4",2008,193,"2_KSR",44.027957,-79.541863
"159","2_KSR_J1_2_5",2008,205,"2_KSR",44.027957,-79.541863
"160","2_KSR_C11_2_6",2008,195,"2_KSR",44.027957,-79.541863
"161","2_KSR_J9_2_7",2008,198,"2_KSR",44.027957,-79.541863
"162","2_KSR_C30_2_8",2008,193,"2_KSR",44.027957,-79.541863
"163","2_KSR_A18_2_9",2008,192,"2_KSR",44.027957,-79.541863
"164","2_KSR_E15_2_10",2008,191,"2_KSR",44.027957,-79.541863
"165","2_KSR_E30_2_11",2008,191,"2_KSR",44.027957,-79.541863
"166","2_KSR_S2_2_12",2008,207,"2_KSR",44.027957,-79.541863
"167","2_KSR_C11_2_13",2008,191,"2_KSR",44.027957,-79.541863
"168","2_KSR_J21_2_14",2008,201,"2_KSR",44.027957,-79.541863
"169","2_KSR_J10_2_15",2008,207,"2_KSR",44.027957,-79.541863
"170","2_KSR_E4_2_16",2008,191,"2_KSR",44.027957,-79.541863
"171","2_KSR_E23_2_17",2008,191,"2_KSR",44.027957,-79.541863
"172","2_KSR_E15_2_18",2008,192,"2_KSR",44.027957,-79.541863
"173","2_KSR_C1_2_19",2008,191,"2_KSR",44.027957,-79.541863
"174","2_KSR_C28_2_20",2008,192,"2_KSR",44.027957,-79.541863
"175","2_KSR_S6_2_21",2008,201,"2_KSR",44.027957,-79.541863
"176","2_KSR_J28_2_22",2008,205,"2_KSR",44.027957,-79.541863
"177","2_KSR_A7_2_23",2008,192,"2_KSR",44.027957,-79.541863
"178","2_KSR_S19_2_24",2008,235,"2_KSR",44.027957,-79.541863
"179","2_KSR_C18_2_25",2008,200,"2_KSR",44.027957,-79.541863
